,,Date,Year,Month,Day,Time,Latitude,Longitude,Material at Origin,Land Use at Origin,Size,"Suppressed 
by","Suppressing 
Agency",Facility Identification,Other Companies,Voltage,Equipment Involved With Ignition,Type,Was There an Outage,Date,Time,Suspected Initiating Event,"Equipment /Facility 
Failure","Contact From 
Object","Facility 
Contacted",Contributing Factor,Notes,EIR Number
1481,PG&E,10/31/2020,2020,10,31,6:58,37.942367,-122.701127,Vegetation,Conifer Forest,0.25 - 10 Acres,Fire Agency,Marin County FD, Ignacio-Bolinas #1 60kV Transmission Circuit between structure 13/145 and 13/144,N,"60,000",Conductor - Transmission,Overhead,Y,10/31/2020,5:52,Equipment - PG&E,Conductor failure-all,N.A.,N.A.,N.A.,,
1753,PG&E,10/31/2020,2020,10,31,10:23,40.180887,-122.25535,Vegetation,Urban,Unknown,Cal Fire,N.A.,Meter: 1008361055,Y,750,Service Drop,Overhead,N,N.A.,N.A.,Contact from object,N.A.,Vegetation,Service Drop,N.A.,"Unknown whether meets reportability threshold, but confirmed to be attributable to PG&E.",
1492,PG&E,10/30/2020,2020,10,30,7:07,36.29936715,-121.2162982,Vegetation,Barren/Other,3 meters - 0.25 Acres,Fire Agency,Greenfield FD,Pole ID: 101765306,N,"21,000",Pole,Overhead,Y,10/30/2020,4:51,Contact from object,N.A.,Vehicle,Pole,N.A.,,
1473,PG&E,10/30/2020,2020,10,30,1:50,40.63776735,-122.3762111,Vegetation,Herbaceous,3 meters - 0.25 Acres,Fire Agency,Redding FD,Pole ID: 101476510,Y,"12,000",Pole,Overhead,Y,10/30/2020,1:42,Equipment - PG&E,Pole failure,N.A.,N.A.,N.A.,,
1491,PG&E,10/28/2020,2020,10,28,20:17,36.503562,-121.931545,Vegetation,Conifer Forest,0.25 - 10 Acres,Cal Fire,"Carmel Highlands and Cypress FPD, Pebble Beach CSD, Monterey Fire Department, and Cal Fire","Circuit ID: 182291102, SAP ID: 101758299",Y,"12,000",Conductor - Primary,Overhead,Y,10/28/2020,20:15,Contact from object,N.A.,Vegetation,Conductor - Primary,N.A.,,
1465,PG&E,10/27/2020,2020,10,27,21:28,37.89804376,-121.7657522,Vegetation,Herbaceous,0.25 - 10 Acres,Fire Agency,East Contra Costa FD,Pole ID: 100496279,Y,"21,000",Pole,Overhead,Y,10/27/2020,21:23,Contact from object,N.A.,Vehicle,Pole,N.A.,,
1462,PG&E,10/27/2020,2020,10,27,19:45,38.58398411,-122.6601825,Vegetation,Hardwood Forest,3 meters - 0.25 Acres,Cal Fire,N.A.,"Circuit ID: 042711101, SAP ID: 102220160",Y,"12,000",Conductor - Primary,Overhead,Y,10/27/2020,19:40,Contact from object,N.A.,Vegetation,Conductor - Primary,N.A.,,
1461,PG&E,10/27/2020,2020,10,27,13:14,38.35433029,-121.7495258,Vegetation,Agriculture,3 meters - 0.25 Acres,Fire Agency,Dixon FD,Circuit ID: 062061103,Y,750,Grounding Wire,Overhead,N,N.A.,N.A.,Equipment - PG&E,#N/A,N.A.,N.A.,N.A.,,
1460,PG&E,10/27/2020,2020,10,27,10:41,37.275577,-121.74751,Vegetation,Hardwood Woodland,3 meters - 0.25 Acres,Fire Agency,San Jose FD,Circuit ID: 083912110,Y,"21,000",Conductor - Primary,Overhead,Y,10/27/2020,10:27,Equipment - PG&E,Conductor failure-all,N.A.,N.A.,N.A.,,
1711,PG&E,10/26/2020,2020,10,26,6:38,37.660745,-122.423683,Building,Urban,Structure Only,Fire Agency,South San Francisco,N.A.,Y,"12,000",Service Drop,Overhead,Y,10/26/2020,6:38,Under Investigation,N.A.,N.A.,N.A.,N.A.,"PG&E has included the following ignition that meets Electric Incident Report criteria, defined by Appendix B to CPUC D.06-04-055. PG&E has not formed a conclusion about the origin or cause of this particular ignition.",EI201026B
